MunicÃ­pio;Entidade;CÃ³digo da LicitaÃ§Ã£o;Modalidade de licitaÃ§Ã£o;Objeto;DescriÃ§Ã£o do objeto contratado;Produto (item);Quantidade do objeto contratado (item);Unidade do objeto contratado;Valor unitÃ¡rio orÃ§amento estimativo lote;Quantidade orÃ§amento estimativo lote;Unidade de medida orÃ§amento estimativo lote;Valor unitÃ¡rio orÃ§amento estimativo item;Quantidade orÃ§amento estimativo item;Unidade de medida orÃ§amento estimativo item;NÃºmero do edital;Data do edital;CNPJ do participante candidato;Nome do participante candidato;Resultado da HabilitaÃ§Ã£o;Valor da Proposta
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;Kit lanche participaÃ§Ã£o exclusiva ME EPP;Kit nÂº 3;1125,0;;;;;48,5;1125,0;kit;900015;06/08/2025;14.564.689/0001-91; P Q SANTOS BUFFET;Classificado - Vencedor;40687500,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;Kit lanche participaÃ§Ã£o exclusiva ME EPP;Kit nÂº 3;1125,0;;;;;48,5;1125,0;kit;900015;06/08/2025;18.469.456/0001-60;DOLLETO DOCES E SALGADOS LTDA;Classificado;41037500,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 2;3750,0;;;;;18,5;3750,0;kit;900015;06/08/2025;08.472.572/0001-85;- AMBP PROMOCOES E EVENTOS EMPRESARIAIS LTDA;Classificado;160500,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 2;3750,0;;;;;18,5;3750,0;kit;900015;06/08/2025;14.564.689/0001-91; P Q SANTOS BUFFET;Classificado - Vencedor;144750000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 2;3750,0;;;;;18,5;3750,0;kit;900015;06/08/2025;18.469.456/0001-60;DOLLETO DOCES E SALGADOS LTDA;Classificado;146925000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 2;3750,0;;;;;35,0;3750,0;kit;900015;06/08/2025;08.472.572/0001-85;- AMBP PROMOCOES E EVENTOS EMPRESARIAIS LTDA;Classificado;160500,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 2;3750,0;;;;;35,0;3750,0;kit;900015;06/08/2025;14.564.689/0001-91; P Q SANTOS BUFFET;Classificado - Vencedor;144750000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 2;3750,0;;;;;35,0;3750,0;kit;900015;06/08/2025;18.469.456/0001-60;DOLLETO DOCES E SALGADOS LTDA;Classificado;146925000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 2;3750,0;;;;;43,5;3750,0;kit;900015;06/08/2025;08.472.572/0001-85;- AMBP PROMOCOES E EVENTOS EMPRESARIAIS LTDA;Classificado;160500,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 2;3750,0;;;;;43,5;3750,0;kit;900015;06/08/2025;14.564.689/0001-91; P Q SANTOS BUFFET;Classificado - Vencedor;144750000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 2;3750,0;;;;;43,5;3750,0;kit;900015;06/08/2025;18.469.456/0001-60;DOLLETO DOCES E SALGADOS LTDA;Classificado;146925000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 3;3375,0;;;;;28,0;3375,0;kit;900015;06/08/2025;08.472.572/0001-85;- AMBP PROMOCOES E EVENTOS EMPRESARIAIS LTDA;Classificado;160500,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 3;3375,0;;;;;28,0;3375,0;kit;900015;06/08/2025;14.564.689/0001-91; P Q SANTOS BUFFET;Classificado - Vencedor;144750000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 3;3375,0;;;;;28,0;3375,0;kit;900015;06/08/2025;18.469.456/0001-60;DOLLETO DOCES E SALGADOS LTDA;Classificado;146925000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 3;3375,0;;;;;40,0;3375,0;kit;900015;06/08/2025;08.472.572/0001-85;- AMBP PROMOCOES E EVENTOS EMPRESARIAIS LTDA;Classificado;160500,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 3;3375,0;;;;;40,0;3375,0;kit;900015;06/08/2025;14.564.689/0001-91; P Q SANTOS BUFFET;Classificado - Vencedor;144750000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 3;3375,0;;;;;40,0;3375,0;kit;900015;06/08/2025;18.469.456/0001-60;DOLLETO DOCES E SALGADOS LTDA;Classificado;146925000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 3;3375,0;;;;;48,5;3375,0;kit;900015;06/08/2025;08.472.572/0001-85;- AMBP PROMOCOES E EVENTOS EMPRESARIAIS LTDA;Classificado;160500,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 3;3375,0;;;;;48,5;3375,0;kit;900015;06/08/2025;14.564.689/0001-91; P Q SANTOS BUFFET;Classificado - Vencedor;144750000,0
Andradina;SECRETARIA DA EDUCACAO / UNIDADE REGIONAL DE ENSINO DE ANDRADINA;2025000000002;Pregao Eletronico;Generos alimenticios;ParticipaÃ§Ã£o ampla ;Kit lanche nÂº 3;3375,0;;;;;48,5;3375,0;kit;900015;06/08/2025;18.469.456/0001-60;DOLLETO DOCES E SALGADOS LTDA;Classificado;146925000,0
Catanduva;INSTITUTO MUNICIPAL ENSINO SUPERIOR-IMES/FAFICA;2025000000097;Contratacao Direta - Dispensa de licitacao;Equipamentos e material permanente;MESA DE ANATOMIA VETERINARIA 3D UNI;MESA DE ANATOMIA VETERINARIA 3D UNI;1,0;;;;;62000,0;1,0;UNI;;;;;;
Catanduva;INSTITUTO MUNICIPAL ENSINO SUPERIOR-IMES/FAFICA;2025000000097;Contratacao Direta - Dispensa de licitacao;Equipamentos e material permanente;MESA DE ANATOMIA VETERINARIA 3D UNI;MESA DE ANATOMIA VETERINARIA 3D UNI;1,0;;;;;120000,0;1,0;UNI;;;;;;
Catanduva;INSTITUTO MUNICIPAL ENSINO SUPERIOR-IMES/FAFICA;2025000000110;Contratacao Direta - Dispensa de licitacao;Servicos de TI;SERVICO DE TELEFONIA FIXA COMUTADA NA MODALIDADE LOCAL, LDN E LDI PARA LIGACOES NAS MODALIDADES FIXO - FIXO E FIXO-MOVEL. SRV;SERVICO DE TELEFONIA FIXA COMUTADA NA MODALIDADE LOCAL  LDN E LDI PARA LIGACOES NAS MODALIDADES FIXO;1,0;;;;;30000,0;1,0;SRV;;;;;;
Catanduva;INSTITUTO MUNICIPAL ENSINO SUPERIOR-IMES/FAFICA;2025000000110;Contratacao Direta - Dispensa de licitacao;Servicos de TI;SERVICO DE TELEFONIA FIXA COMUTADA NA MODALIDADE LOCAL, LDN E LDI PARA LIGACOES NAS MODALIDADES FIXO - FIXO E FIXO-MOVEL. SRV;SERVICO DE TELEFONIA FIXA COMUTADA NA MODALIDADE LOCAL  LDN E LDI PARA LIGACOES NAS MODALIDADES FIXO;1,0;;;;;32994,0;1,0;SRV;;;;;;
Catanduva;INSTITUTO MUNICIPAL ENSINO SUPERIOR-IMES/FAFICA;2025000000110;Contratacao Direta - Dispensa de licitacao;Servicos de TI;SERVICO DE TELEFONIA FIXA COMUTADA NA MODALIDADE LOCAL, LDN E LDI PARA LIGACOES NAS MODALIDADES FIXO - FIXO E FIXO-MOVEL. SRV;SERVICO DE TELEFONIA FIXA COMUTADA NA MODALIDADE LOCAL  LDN E LDI PARA LIGACOES NAS MODALIDADES FIXO;1,0;;;;;83940,0;1,0;SRV;;;;;;
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS DUPLAS ILUMINADAS;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Desclassificado;4000,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS DUPLAS ILUMINADAS;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;2500,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  BARRETOS;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  BARRETOS;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;1295,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  BATATAIS;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1175,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  BATATAIS;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado;1175,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  CATANDUVA;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Desclassificado;1700,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  CATANDUVA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES FRANCA;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1180,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES FRANCA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  GUAIRA;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  GUAIRA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  GUARA;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1150,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  GUARA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado;1190,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  ITUVERAVA;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado;1200,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  ITUVERAVA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;1196,66
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  ORLANDIA;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1200,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  ORLANDIA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  PASSOSMG;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Desclassificado;1400,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  PASSOSMG;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  PATROCINIO PAULISTA;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1200,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  PATROCINIO PAULISTA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  RIBEIRAO PRETO;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado;1290,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  RIBEIRAO PRETO;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;1289,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  RIFAINA;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1200,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  RIFAINA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SAO CARLOS;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Desclassificado;1700,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SAO CARLOS;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SAO JOAQUIM DA BARRA;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1200,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SAO JOAQUIM DA BARRA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SAO JOSE RIO PRETO PRETO;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1480,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SAO JOSE RIO PRETO PRETO;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Desclassificado;1500,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SAO SEBASTIAO DO PARAISO;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SAO SEBASTIAO DO PARAISO;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado;1300,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SERTAOZINHO;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado - Vencedor;1200,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS  SIMPLES  SERTAOZINHO;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado;1200,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;OUTDOOR PLACAS TRIPLAS ILUMINADAS;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;3500,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;PAINEL LED FRANCA;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;5500,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;PAINEL LED RIBEIRAO PRETO;;;;;;;;;;0046/2025;11/09/2025;04.851.658/0001-68;ORIUN PAINEIS LTDA - EPP;Classificado;4000,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;PAINEL LED RIBEIRAO PRETO;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;3700,0
Franca;FACULDADE DE DIREITO DE FRANCA - ;2025000000133;Pregao Eletronico;Outras prestacoes de servico;PAINEL LED SAO JOSE RIO PRETO;;;;;;;;;;0046/2025;11/09/2025;17.471.980/0001-03;INTELIGENCIA DE MIDIA PUBLICITARIA LTDA.;Classificado - Vencedor;7345,0
